Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,DayOfWeek,3_day_avg,7_day_avg,volatility,price_change,RSI,MACD,OBV
1.368,1.376,1.348,1.348667,1.348667,2442000,2010,10,18,0,1.3671109999999997,1.361618857142857,0.027999999999999803,-0.02066599999999985,37.73577192309387,-0.0002760601941853569,-471792000.0
1.346667,1.360667,1.333333,1.336667,1.336667,3678000,2010,10,19,1,1.3515556666666668,1.357999857142857,0.02733399999999997,-0.01200000000000001,27.917633490313438,-0.0027342109202950216,-475470000.0
1.344,1.379333,1.336,1.376667,1.376667,4687500,2010,10,20,2,1.3540003333333335,1.3619047142857141,0.043332999999999844,0.040000000000000036,53.52942214535925,-0.0014380701966452136,-470782500.0
1.374,1.396667,1.363333,1.383333,1.383333,6256500,2010,10,21,3,1.3655556666666666,1.366761857142857,0.0333340000000002,0.006665999999999839,52.26586787271261,0.00012557362042087128,-464526000.0
1.378667,1.395333,1.37,1.381333,1.381333,2416500,2010,10,22,4,1.3804443333333332,1.3684761428571428,0.025332999999999828,-0.0020000000000000018,45.423713300723044,0.0011896754871201232,-466942500.0
1.396,1.398667,1.382,1.39,1.39,1777500,2010,10,25,0,1.3848886666666667,1.3694285714285714,0.01666700000000021,0.00866699999999998,45.423713300723044,0.002701200590806252,-465165000.0
1.386667,1.458,1.367333,1.424,1.424,9913500,2010,10,26,1,1.3984443333333332,1.377238142857143,0.09066700000000005,0.03400000000000003,66.0714859695927,0.006566911705195189,-455251500.0
1.416667,1.425333,1.376667,1.4,1.4,5347500,2010,10,27,2,1.4046666666666665,1.3845714285714286,0.048665999999999876,-0.02400000000000002,59.10546040083191,0.007606236234072972,-460599000.0
1.426,1.433333,1.397333,1.412667,1.412667,3363000,2010,10,28,3,1.4122223333333332,1.3954285714285712,0.03600000000000003,0.012666999999999984,61.44587567149945,0.009344314013290056,-457236000.0
1.409333,1.456667,1.403333,1.456,1.456,4209000,2010,10,29,4,1.4228889999999998,1.4067618571428573,0.05333399999999999,0.043333000000000066,71.16417128639402,0.01405633148688401,-453027000.0
1.462667,1.516667,1.420667,1.427333,1.427333,6837000,2010,11,1,0,1.4320000000000002,1.4130475714285713,0.09600000000000009,-0.028666999999999998,63.89551994185262,0.015301070744122791,-459864000.0
1.445333,1.458667,1.403333,1.416667,1.416667,4837500,2010,11,2,1,1.4333333333333333,1.4180952857142857,0.055333999999999994,-0.010666000000000064,58.722524435009504,0.015251073629490852,-464701500.0
1.418667,1.5,1.410667,1.451333,1.451333,5589000,2010,11,3,2,1.4317776666666664,1.4268571428571428,0.0893330000000001,0.034666000000000086,61.64391536928336,0.01780347960942885,-459112500.0
1.506667,1.688667,1.476667,1.66,1.66,28110000,2010,11,4,3,1.5093333333333332,1.4605714285714286,0.21199999999999997,0.20866699999999994,79.86315021626787,0.036246139797591725,-431002500.0
